Trial#, Alpha, Epsilon, Trial 1, Avg 1, Trial 2, Avg 2, Trial 3, Avg 3, AverageSuccess, AverageReturn
700000, 0.1000, 0.0100, 9989, 322.51, 9987, 322.01, 9995, 323.28, 9990, 322.60
720000, 0.1000, 0.0100, 9991, 325.69, 9991, 328.08, 9989, 326.24, 9990, 326.67
740000, 0.1000, 0.0100, 9990, 325.84, 9987, 325.43, 9987, 324.16, 9988, 325.15
760000, 0.1000, 0.0100, 9992, 323.86, 9990, 323.76, 9988, 324.38, 9990, 324.00
780000, 0.1000, 0.0100, 9992, 324.75, 9995, 325.98, 9985, 323.83, 9990, 324.85
800000, 0.1000, 0.0100, 9989, 325.49, 9985, 324.02, 9986, 324.69, 9986, 324.74
820000, 0.1000, 0.0100, 9992, 324.66, 9993, 325.16, 9993, 326.73, 9992, 325.52
840000, 0.1000, 0.0100, 9990, 326.79, 9994, 326.94, 9992, 326.93, 9992, 326.88
860000, 0.1000, 0.0100, 9997, 326.30, 9987, 325.32, 9992, 324.53, 9992, 325.38
880000, 0.1000, 0.0100, 9987, 322.89, 9987, 321.64, 9989, 322.34, 9987, 322.29
900000, 0.1000, 0.0100, 9991, 323.49, 9989, 322.28, 9989, 322.72, 9989, 322.83
920000, 0.1000, 0.0100, 9989, 324.70, 9988, 324.41, 9986, 324.74, 9987, 324.62
940000, 0.1000, 0.0100, 9987, 325.08, 9989, 326.00, 9990, 325.98, 9988, 325.69
960000, 0.1000, 0.0100, 9991, 323.87, 9992, 323.22, 9985, 324.05, 9989, 323.71
980000, 0.1000, 0.0100, 9988, 325.58, 9990, 324.92, 9985, 324.45, 9987, 324.98
1000000, 0.1000, 0.0100, 9989, 325.26, 9996, 325.27, 9989, 325.99, 9991, 325.51
