Trial#, Alpha, Epsilon, Trial 1, Avg 1, Trial 2, Avg 2, Trial 3, Avg 3, AverageSuccess, AverageReturn
500000, 0.1000, 0.0100, 9925, 288.87, 9934, 287.98, 9945, 288.92, 9934, 288.59
520000, 0.1000, 0.0100, 9942, 289.99, 9946, 288.42, 9956, 289.84, 9948, 289.42
540000, 0.1000, 0.0100, 9942, 290.38, 9939, 288.96, 9940, 290.29, 9940, 289.88
560000, 0.1000, 0.0100, 9944, 286.64, 9933, 288.33, 9944, 287.80, 9940, 287.59
580000, 0.1000, 0.0100, 9937, 288.51, 9929, 288.60, 9951, 288.28, 9939, 288.46
600000, 0.1000, 0.0100, 9943, 289.81, 9933, 289.55, 9928, 289.19, 9934, 289.52
620000, 0.1000, 0.0100, 9949, 290.89, 9944, 291.25, 9943, 290.19, 9945, 290.78
640000, 0.1000, 0.0100, 9929, 290.07, 9922, 290.75, 9944, 290.63, 9931, 290.49
660000, 0.1000, 0.0100, 9944, 289.28, 9938, 288.60, 9946, 290.36, 9942, 289.41
680000, 0.1000, 0.0100, 9960, 290.45, 9948, 290.96, 9938, 290.69, 9948, 290.70
700000, 0.1000, 0.0100, 9952, 290.56, 9930, 290.47, 9944, 290.82, 9942, 290.62
720000, 0.1000, 0.0100, 9942, 290.41, 9945, 290.20, 9948, 289.70, 9945, 290.10
740000, 0.1000, 0.0100, 9945, 290.89, 9956, 289.75, 9949, 290.44, 9950, 290.36
760000, 0.1000, 0.0100, 9954, 289.52, 9942, 289.61, 9947, 289.76, 9947, 289.63
780000, 0.1000, 0.0100, 9946, 289.88, 9946, 290.60, 9928, 290.60, 9940, 290.36
800000, 0.1000, 0.0100, 9944, 288.97, 9940, 290.84, 9947, 290.33, 9943, 290.05
820000, 0.1000, 0.0100, 9958, 289.90, 9949, 291.89, 9943, 291.83, 9950, 291.21
840000, 0.1000, 0.0100, 9952, 292.05, 9947, 291.24, 9950, 291.14, 9949, 291.48
860000, 0.1000, 0.0100, 9943, 291.35, 9956, 290.65, 9956, 291.04, 9951, 291.01
880000, 0.1000, 0.0100, 9942, 290.52, 9953, 290.82, 9945, 288.97, 9946, 290.10
900000, 0.1000, 0.0100, 9957, 292.75, 9955, 290.50, 9947, 291.57, 9953, 291.61
920000, 0.1000, 0.0100, 9945, 290.14, 9942, 290.61, 9943, 290.21, 9943, 290.32
940000, 0.1000, 0.0100, 9930, 291.68, 9955, 292.66, 9961, 291.33, 9948, 291.89
960000, 0.1000, 0.0100, 9955, 290.91, 9954, 291.27, 9940, 291.20, 9949, 291.13
980000, 0.1000, 0.0100, 9960, 290.49, 9946, 292.12, 9957, 291.22, 9954, 291.28
1000000, 0.1000, 0.0100, 9939, 290.92, 9953, 291.68, 9941, 290.56, 9944, 291.06
