Trial#, Alpha, Epsilon, Trial 1, Avg 1, Trial 2, Avg 2, Trial 3, Avg 3, AverageSuccess, AverageReturn
500, 0.1000, 0.9772, 539, 417.56, 573, 415.88, 575, 417.70, 562, 417.04
1000, 0.1000, 0.9550, 1095, 407.54, 1062, 408.97, 1110, 408.25, 1089, 408.25
1500, 0.1000, 0.9333, 1451, 398.31, 1518, 399.35, 1496, 400.78, 1488, 399.49
2000, 0.1000, 0.9120, 2383, 395.04, 2424, 395.89, 2331, 397.46, 2379, 396.12
2500, 0.1000, 0.8913, 2778, 394.40, 2724, 394.18, 2745, 394.35, 2749, 394.31
3000, 0.1000, 0.8710, 3476, 391.23, 3417, 390.35, 3426, 391.03, 3439, 390.87
3500, 0.1000, 0.8511, 4479, 392.41, 4491, 391.96, 4501, 392.97, 4490, 392.44
4000, 0.1000, 0.8318, 5056, 389.44, 5171, 391.03, 5139, 389.72, 5122, 390.07
4500, 0.1000, 0.8128, 5507, 387.74, 5598, 388.62, 5567, 388.45, 5557, 388.27
5000, 0.1000, 0.7943, 5809, 391.30, 5807, 389.52, 5879, 390.83, 5831, 390.55
5500, 0.1000, 0.7762, 6246, 391.16, 6229, 391.27, 6240, 393.43, 6238, 391.95
6000, 0.1000, 0.7586, 6347, 391.29, 6380, 391.33, 6376, 390.33, 6367, 390.98
6500, 0.1000, 0.7413, 6613, 391.38, 6701, 391.91, 6674, 390.68, 6662, 391.33
7000, 0.1000, 0.7244, 6826, 390.43, 6810, 389.59, 6751, 389.91, 6795, 389.98
7500, 0.1000, 0.7079, 7039, 389.33, 7060, 389.59, 7077, 388.40, 7058, 389.11
8000, 0.1000, 0.6918, 7305, 391.22, 7262, 390.88, 7261, 389.65, 7276, 390.58
8500, 0.1000, 0.6761, 7324, 390.69, 7354, 390.45, 7392, 390.15, 7356, 390.43
9000, 0.1000, 0.6607, 7519, 390.25, 7547, 390.11, 7575, 389.83, 7547, 390.06
9500, 0.1000, 0.6457, 7775, 390.75, 7713, 390.92, 7790, 391.83, 7759, 391.16
10000, 0.1000, 0.6310, 7934, 390.93, 7945, 391.39, 7815, 391.94, 7898, 391.42
10500, 0.1000, 0.6166, 8084, 390.98, 8094, 391.05, 8172, 391.33, 8116, 391.12
11000, 0.1000, 0.6026, 8057, 390.64, 8247, 390.25, 8066, 389.61, 8123, 390.17
11500, 0.1000, 0.5888, 8177, 390.39, 8206, 389.58, 8225, 389.64, 8202, 389.87
12000, 0.1000, 0.5754, 8417, 390.04, 8324, 389.34, 8247, 390.28, 8329, 389.89
12500, 0.1000, 0.5623, 8327, 388.34, 8350, 387.47, 8355, 388.13, 8344, 387.98
13000, 0.1000, 0.5495, 8551, 388.13, 8538, 388.52, 8514, 388.40, 8534, 388.35
13500, 0.1000, 0.5370, 8500, 386.52, 8572, 387.61, 8598, 387.95, 8556, 387.36
14000, 0.1000, 0.5248, 8743, 388.21, 8652, 387.29, 8615, 387.46, 8670, 387.65
14500, 0.1000, 0.5129, 8858, 388.61, 8837, 388.52, 8803, 388.21, 8832, 388.45
15000, 0.1000, 0.5012, 8932, 388.42, 8907, 387.69, 8889, 388.53, 8909, 388.21
15500, 0.1000, 0.4898, 8854, 388.21, 8894, 387.36, 8892, 387.09, 8880, 387.55
16000, 0.1000, 0.4786, 8903, 385.99, 8932, 387.14, 8964, 387.09, 8933, 386.74
16500, 0.1000, 0.4677, 8938, 387.31, 8958, 388.35, 8925, 387.72, 8940, 387.80
17000, 0.1000, 0.4571, 9109, 387.61, 9108, 387.20, 9056, 387.54, 9091, 387.45
17500, 0.1000, 0.4467, 9038, 388.46, 9009, 387.50, 9015, 388.44, 9020, 388.13
18000, 0.1000, 0.4365, 9096, 388.05, 9104, 387.13, 9066, 388.91, 9088, 388.03
18500, 0.1000, 0.4266, 9211, 386.51, 9236, 386.64, 9253, 387.22, 9233, 386.79
19000, 0.1000, 0.4169, 9255, 384.43, 9192, 385.74, 9218, 384.61, 9221, 384.93
19500, 0.1000, 0.4074, 9244, 384.28, 9170, 385.00, 9210, 384.97, 9208, 384.75
20000, 0.1000, 0.3981, 9241, 387.00, 9306, 385.95, 9206, 386.91, 9251, 386.62
40000, 0.1000, 0.1585, 9773, 370.63, 9786, 370.74, 9778, 371.77, 9779, 371.04
60000, 0.1000, 0.0631, 9929, 368.24, 9944, 367.82, 9939, 368.35, 9937, 368.14
80000, 0.1000, 0.0251, 9967, 366.18, 9975, 365.28, 9968, 365.39, 9970, 365.62
100000, 0.1000, 0.0100, 9979, 366.46, 9988, 365.61, 9988, 366.36, 9985, 366.14
120000, 0.1000, 0.0100, 9986, 366.76, 9990, 366.90, 9982, 366.33, 9986, 366.66
140000, 0.1000, 0.0100, 9992, 368.75, 9987, 367.69, 9990, 367.38, 9989, 367.94
160000, 0.1000, 0.0100, 9993, 365.56, 9990, 366.01, 9993, 367.43, 9992, 366.33
180000, 0.1000, 0.0100, 9995, 364.95, 9995, 365.44, 9997, 364.77, 9995, 365.05
200000, 0.1000, 0.0100, 9990, 364.81, 9992, 364.75, 9996, 364.02, 9992, 364.53
220000, 0.1000, 0.0100, 9992, 363.93, 9992, 364.65, 9994, 365.89, 9992, 364.83
240000, 0.1000, 0.0100, 9996, 364.56, 9997, 364.87, 9990, 364.64, 9994, 364.69
260000, 0.1000, 0.0100, 9991, 364.95, 9996, 365.05, 9998, 365.43, 9995, 365.14
280000, 0.1000, 0.0100, 9999, 363.27, 9993, 364.29, 9993, 364.97, 9995, 364.18
300000, 0.1000, 0.0100, 9998, 363.17, 9997, 363.69, 9998, 363.24, 9997, 363.37
320000, 0.1000, 0.0100, 9999, 364.70, 9998, 364.28, 9997, 365.25, 9998, 364.74
340000, 0.1000, 0.0100, 9996, 366.11, 9995, 365.47, 9997, 364.80, 9996, 365.46
360000, 0.1000, 0.0100, 9997, 367.24, 9999, 366.90, 9998, 367.02, 9998, 367.05
380000, 0.1000, 0.0100, 9995, 366.82, 9996, 366.17, 9995, 364.97, 9995, 365.99
400000, 0.1000, 0.0100, 9998, 365.09, 9996, 364.58, 9997, 364.80, 9997, 364.82
420000, 0.1000, 0.0100, 9998, 365.35, 9996, 366.89, 9996, 365.57, 9996, 365.94
440000, 0.1000, 0.0100, 9998, 363.12, 9995, 363.63, 9998, 362.91, 9997, 363.22
460000, 0.1000, 0.0100, 9995, 364.95, 9995, 364.39, 9998, 364.12, 9996, 364.49
480000, 0.1000, 0.0100, 9996, 363.24, 9998, 363.77, 9997, 362.39, 9997, 363.14
500000, 0.1000, 0.0100, 9998, 364.29, 9997, 364.56, 9999, 364.87, 9998, 364.57
